market_date,variant,action,action_idx,last_action,submit_orders,account_status,account_value,n_target_positions,n_orders_planned,n_orders_submitted,model_path,metadata_path,timestamp_utc
2026-04-30,MLP_alpha__130_30,rebalance,0,,True,AccountStatus.ACTIVE,1000000.0,114,107,107,artifacts/mlp.joblib,,2026-04-30T23:59:23.882648+00:00
2026-05-01,MLP_alpha__130_30,rebalance,0,,True,AccountStatus.ACTIVE,1000000.0,114,107,107,artifacts/mlp.joblib,,2026-05-01T00:03:14.395723+00:00
2026-05-01,MLP_alpha__130_30,rebalance,0,,True,AccountStatus.ACTIVE,1000000.0,114,107,107,artifacts/mlp.joblib,,2026-05-01T01:17:31.444697+00:00
2026-05-01,MLP_alpha__130_30,hold,0,,False,AccountStatus.ACTIVE,998635.58,0,0,0,artifacts/mlp.joblib,,2026-05-01T14:47:33.815964+00:00
2026-05-04,MLP_alpha__130_30,hold,0,,False,AccountStatus.ACTIVE,998426.69,0,0,0,artifacts/mlp.joblib,,2026-05-04T13:20:41.970822+00:00
2026-05-05,MLP_alpha__130_30,hold,0,,False,AccountStatus.ACTIVE,1018717.84,0,0,0,artifacts/mlp.joblib,,2026-05-05T01:03:33.133528+00:00
2026-05-05,MLP_alpha__130_30,hold,0,,False,AccountStatus.ACTIVE,990877.81,0,0,0,artifacts/mlp.joblib,,2026-05-05T12:54:48.380065+00:00
2026-05-05,MLP_alpha__130_30,hold,0,,False,AccountStatus.ACTIVE,995879.61,0,0,0,artifacts/mlp.joblib,,2026-05-05T14:37:22.790696+00:00
2026-05-06,MLP_alpha__130_30,hold,0,,False,AccountStatus.ACTIVE,1027706.99,0,0,0,artifacts/mlp.joblib,,2026-05-06T02:17:17.088264+00:00
2026-05-06,MLP_alpha__130_30,hold,0,,False,AccountStatus.ACTIVE,1008469.04,0,0,0,artifacts/mlp.joblib,,2026-05-06T12:58:43.844924+00:00
2026-05-06,MLP_alpha__130_30,hold,0,,False,AccountStatus.ACTIVE,1013145.75,0,0,0,artifacts/mlp.joblib,,2026-05-06T15:15:55.550108+00:00
2026-05-07,MLP_alpha__130_30,hold,0,,False,AccountStatus.ACTIVE,1020788.41,0,0,0,artifacts/mlp.joblib,,2026-05-07T00:11:00.652237+00:00
2026-05-07,MLP_alpha__130_30,hold,0,,False,AccountStatus.ACTIVE,1012691.39,0,0,0,artifacts/mlp.joblib,,2026-05-07T10:35:19.365940+00:00
2026-05-07,MLP_alpha__130_30,hold,0,,False,AccountStatus.ACTIVE,1010779.25,0,0,0,artifacts/mlp.joblib,,2026-05-07T15:18:24.766460+00:00
2026-05-08,MLP_alpha__130_30,hold,0,,False,AccountStatus.ACTIVE,1021354.5,0,0,0,artifacts/mlp.joblib,,2026-05-08T02:21:46.953564+00:00
2026-05-08,MLP_alpha__130_30,hold,0,,False,AccountStatus.ACTIVE,1008675.21,0,0,0,artifacts/mlp.joblib,,2026-05-08T11:19:47.207988+00:00
2026-05-08,MLP_alpha__130_30,hold,0,,False,AccountStatus.ACTIVE,1011663.86,0,0,0,artifacts/mlp.joblib,,2026-05-08T14:26:57.219845+00:00
2026-05-08,MLP_alpha__130_30,hold,0,,False,AccountStatus.ACTIVE,1013181.52,0,0,0,artifacts/mlp.joblib,,2026-05-08T22:21:15.332354+00:00
2026-05-11,MLP_alpha__130_30,hold,0,,False,AccountStatus.ACTIVE,1016791.34,0,0,0,artifacts/mlp.joblib,,2026-05-11T12:00:17.304264+00:00
2026-05-11,MLP_alpha__130_30,hold,0,,False,AccountStatus.ACTIVE,1009753.61,0,0,0,artifacts/mlp.joblib,,2026-05-11T13:46:05.947522+00:00
2026-05-11,MLP_alpha__130_30,hold,0,,False,AccountStatus.ACTIVE,1006121.27,0,0,0,artifacts/mlp.joblib,,2026-05-11T20:03:08.470011+00:00
