timestamp_utc,portfolio_value,action,submit_orders
2026-04-30T23:59:23.882648+00:00,1000000.0,rebalance,True
2026-05-01T00:03:14.395723+00:00,1000000.0,rebalance,True
2026-05-01T01:17:31.444697+00:00,1000000.0,rebalance,True
2026-05-01T14:47:33.815964+00:00,998635.58,hold,False
2026-05-04T13:20:41.970822+00:00,998426.69,hold,False
2026-05-05T01:03:33.133528+00:00,1018717.84,hold,False
2026-05-05T12:54:48.380065+00:00,990877.81,hold,False
2026-05-05T14:37:22.790696+00:00,995879.61,hold,False
2026-05-06T02:17:17.088264+00:00,1027706.99,hold,False
2026-05-06T12:58:43.844924+00:00,1008469.04,hold,False
2026-05-06T15:15:55.550108+00:00,1013145.75,hold,False
2026-05-07T00:11:00.652237+00:00,1020788.41,hold,False
2026-05-07T10:35:19.365940+00:00,1012691.39,hold,False
2026-05-07T15:18:24.766460+00:00,1010779.25,hold,False
2026-05-08T02:21:46.953564+00:00,1021354.5,hold,False
2026-05-08T11:19:47.207988+00:00,1008675.21,hold,False
2026-05-08T14:26:57.219845+00:00,1011663.86,hold,False
2026-05-08T22:21:15.332354+00:00,1013181.52,hold,False
2026-05-11T12:00:17.304264+00:00,1016791.34,hold,False
2026-05-11T13:46:05.947522+00:00,1009753.61,hold,False
2026-05-11T20:03:08.470011+00:00,1006121.27,hold,False
2026-05-11T23:44:42.244944+00:00,1006630.85,hold,False
2026-05-12T11:12:05.716921+00:00,1004017.76,hold,False
2026-05-12T20:04:30.029772+00:00,1003014.18,hold,False
2026-05-12T23:48:13.807565+00:00,1001752.17,hold,False
2026-05-13T11:25:56.129184+00:00,1005140.34,hold,False
2026-05-13T20:10:54.558619+00:00,994851.43,hold,False
2026-05-13T23:46:14.009863+00:00,995095.7,hold,False
